"id","provinsi","kabupaten","kecamatan","id_kabupaten"
"391",KALIMANTAN SELATAN,HULU SUNGAI TENGAH,LABUAN AMAS SELATAN,"221"
"392",JAWA BARAT,BANDUNG,COBLONG,"224"
"393",LAMPUNG,WAY KANAN,BUMI AGUNG,"64"
"394",SUMATERA BARAT,PADANG PARIAMAN,V KOTO KP DALAM,"270"
"395",ACEH,ACEH TIMUR,SIMPANG ULIM,"486"
"396",GORONTALO,GORONTALO,BATUDAA PANTAI,"53"
"397",MALUKU UTARA,TERNATE,TERNATE SELATAN,"417"
"398",KALIMANTAN TIMUR,KUTAI KARTANEGARA,LOA KULU,"212"
"399",KALIMANTAN SELATAN,TANAH LAUT,TAKISUNG,"111"
"400",JAWA BARAT,KARAWANG,PURWASARI,"236"
"401",SULAWESI BARAT,POLEWALI MANDAR,ANREAPI,"408"
"402",SULAWESI SELATAN,PALOPO,MUNGKAJANG,"57"
"403",MALUKU,MALUKU BARAT DAYA,PP. TERSELATAN,"426"
"404",ACEH,ACEH BESAR,DARUL KAMAL,"310"
"405",SULAWESI SELATAN,BULUKUMBA,BULUKUMPA,"250"
"406",SUMATERA UTARA,BATU BARA,MEDANG DERAS,"117"
"407",LAMPUNG,LAMPUNG TIMUR,SEKAMPUNG,"144"
"409",LAMPUNG,LAMPUNG BARAT,SUKAU,"172"
"410",PAPUA,MERAUKE,TUBANG,"274"
"411",MALUKU,BURU,NAMLEA,"382"
"412",JAWA TENGAH,MAGELANG,MUNTILAN,"318"
"413",RIAU,KUANTAN SINGINGI,KUANTAN TENGAH,"93"
"414",JAWA BARAT,BEKASI,PONDOKMELATI,"452"
"415",ACEH,ACEH JAYA,JAYA,"374"
"416",SULAWESI UTARA,KEPULAUAN TALAUD,LIRUNG,"162"
"417",NUSA TENGGARA TIMUR,KUPANG,AMFOANG TIMUR,"468"
"418",GORONTALO,BOALEMO,TILAMUTA,"472"
"419",PAPUA,BOVEN DIGOEL,JAIR,"422"
"420",JAWA TIMUR,JOMBANG,PERAK,"67"
"421",JAWA BARAT,BANDUNG,CICALENGKA,"224"
"422",KALIMANTAN BARAT,SANGGAU,TAYAN HILIR,"103"
"423",SULAWESI UTARA,MINAHASA,TOMPASO,"358"
"424",JAWA TENGAH,KENDAL,BOJA,"27"
"425",SUMATERA SELATAN,OGAN ILIR,TANJUNG RAJA,"32"
"426",MALUKU UTARA,HALMAHERA UTARA,TOBELO TENGAH,"396"
"427",NUSA TENGGARA BARAT,MATARAM,MATARAM,"41"
"428",JAWA TENGAH,TEMANGGUNG,PARAKAN,"398"
"429",SULAWESI BARAT,MAMUJU,TAPALANG BARAT,"23"
"430",SULAWESI TENGGARA,KONAWE,AMONGGEDO,"174"
"431",KALIMANTAN UTARA,MALINAU,MALINAU SELATAN,"342"
"432",BALI,KARANG ASEM,RENDANG,"253"
"433",MALUKU,TUAL,PULAU DULLAH UTARA,"276"
"434",JAWA BARAT,SUKABUMI,NYALINDUNG,"324"
"435",JAWA BARAT,SUKABUMI,GUNUNG PUYUH,"324"
"436",NUSA TENGGARA TIMUR,ALOR,LEMBUR,"267"
"437",NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,MUTIS,"96"
"438",BENGKULU,MUKOMUKO,AIR RAMI,"135"
"439",JAWA TENGAH,BATANG,BANDAR,"196"
"440",NUSA TENGGARA TIMUR,SIKKA,KANGAE,"170"
"441",SULAWESI SELATAN,MAROS,TANRALILI,"112"
"442",KALIMANTAN BARAT,SAMBAS,JAWAI SELATAN,"121"
"443",SULAWESI SELATAN,PALOPO,TELLUWANUA,"57"
